transaction_id,settlement_amount,fee,tax,settlement_date,expected_settlement_date,status
TXN10036,3766.38,77.15,13.89,2026-08-03,2026-08-04,settled
TXN10037,1594.0,32.65,5.88,2026-08-11,2026-08-12,settled
TXN10038,1947.71,39.9,7.18,2026-07-12,2026-07-13,settled
TXN10039,1714.51,35.12,6.32,2026-07-03,2026-07-04,settled
TXN10040,4313.61,88.36,15.9,2026-08-25,2026-08-25,settled
TXN10041,466.76,9.56,1.72,2026-08-27,2026-08-28,settled
TXN10042,3625.53,74.26,13.37,2026-08-23,2026-08-24,settled
TXN10043,3784.54,77.52,13.95,2026-07-11,2026-07-11,settled
TXN10044,969.19,19.85,3.57,2026-08-05,2026-08-05,settled
TXN10045,4548.83,93.18,16.77,2026-08-19,2026-08-20,settled
TXN10046,1656.21,33.92,6.11,2026-08-14,2026-08-14,settled
TXN10047,4411.53,90.36,16.26,2026-07-30,2026-07-31,settled
TXN10048,1248.38,25.57,4.6,2026-07-23,2026-07-24,settled
TXN10049,2791.35,57.18,10.29,2026-08-08,2026-08-09,settled
TXN10050,528.0,10.82,1.95,2026-08-11,2026-08-12,settled
TXN10051,511.17,10.47,1.88,2026-07-05,2026-07-05,settled
TXN10052,2604.99,53.36,9.6,2026-07-20,2026-07-20,settled
TXN10053,2722.51,55.77,10.04,2026-08-18,2026-08-18,settled
TXN10054,3872.57,79.32,14.28,2026-08-23,2026-08-23,settled
TXN10055,637.35,13.06,2.35,2026-08-14,2026-08-14,settled
TXN10056,2180.48,44.66,8.04,2026-07-31,2026-08-01,settled
TXN10057,3257.85,66.73,12.01,2026-08-12,2026-08-13,settled
TXN10058,2082.25,42.65,7.68,2026-07-23,2026-07-24,settled
TXN10059,1093.21,22.39,4.03,2026-08-06,2026-08-06,settled
TXN10060,2172.52,44.5,8.01,2026-07-20,2026-07-20,settled
TXN10061,4293.75,87.95,15.83,2026-07-07,2026-07-07,settled
TXN10062,654.15,13.4,2.41,2026-08-12,2026-08-13,settled
TXN10063,4536.9,92.93,16.73,2026-08-25,2026-08-26,settled
TXN10064,2100.03,43.02,7.74,2026-08-01,2026-08-02,settled
TXN10065,4424.79,90.63,16.31,2026-07-13,2026-07-13,settled
TXN10066,4813.14,98.59,17.75,2026-07-19,2026-07-19,settled
TXN10067,2177.8,44.61,8.03,2026-08-18,2026-08-18,settled
TXN10068,1085.28,22.23,4.0,2026-07-15,2026-07-16,settled
TXN10069,3643.48,74.63,13.43,2026-07-06,2026-07-06,settled
TXN10070,430.28,8.81,1.59,2026-08-01,2026-08-02,settled
TXN10071,4698.19,96.23,17.32,2026-07-07,2026-07-08,settled
TXN10072,2984.05,61.12,11.0,2026-08-14,2026-08-15,settled
TXN10073,757.16,15.51,2.79,2026-08-27,2026-08-28,settled
TXN10074,2981.63,61.07,10.99,2026-08-10,2026-08-11,settled
TXN10075,3276.2,67.11,12.08,2026-08-08,2026-08-08,settled
TXN10076,1152.58,23.61,4.25,2026-08-17,2026-08-17,settled
TXN10077,1440.14,29.5,5.31,2026-07-11,2026-07-11,settled
TXN10078,1677.12,34.35,6.18,2026-08-19,2026-08-20,settled
TXN10079,2343.13,48.0,8.64,2026-08-07,2026-08-08,settled
TXN10080,2715.03,55.61,10.01,2026-08-04,2026-08-04,settled
TXN10081,4569.21,93.59,16.85,2026-08-27,2026-08-28,settled
TXN10082,1927.16,39.47,7.1,2026-07-13,2026-07-13,settled
TXN10083,3492.57,71.54,12.88,2026-08-10,2026-08-11,settled
TXN10084,4024.82,82.44,14.84,2026-07-21,2026-07-22,settled
TXN10085,1434.76,29.39,5.29,2026-08-27,2026-08-28,settled
TXN10086,2788.08,57.11,10.28,2026-07-20,2026-07-20,settled
TXN10087,1182.44,24.22,4.36,2026-07-23,2026-07-24,settled
TXN10088,3167.77,64.89,11.68,2026-07-19,2026-07-19,settled
TXN10089,4438.35,90.91,16.36,2026-08-25,2026-08-26,settled
TXN10090,3168.0,64.89,11.68,2026-08-25,2026-08-25,settled
TXN10091,211.9,4.34,0.78,2026-08-20,2026-08-21,settled
TXN10092,4787.32,98.06,17.65,2026-07-13,2026-07-13,settled
TXN10093,3502.55,71.74,12.91,2026-08-06,2026-08-07,settled
TXN10094,547.93,11.22,2.02,2026-08-27,2026-08-28,settled
TXN10095,364.14,7.46,1.34,2026-07-25,2026-07-26,settled
TXN10096,792.59,16.23,2.92,2026-07-22,2026-07-22,settled
TXN10097,4408.29,90.3,16.25,2026-07-15,2026-07-16,settled
TXN10098,677.04,13.87,2.5,2026-08-21,2026-08-21,settled
TXN10099,3707.87,75.95,13.67,2026-08-30,2026-08-31,settled
TXN10100,4770.48,97.72,17.59,2026-08-22,2026-08-23,settled
TXN10101,311.44,6.38,1.15,2026-08-19,2026-08-19,settled
TXN10102,3955.14,81.01,14.58,2026-08-26,2026-08-27,settled
TXN10103,941.4,19.28,3.47,2026-08-15,2026-08-16,settled
TXN10104,4282.88,87.73,15.79,2026-08-26,2026-08-26,settled
TXN10105,1130.62,23.16,4.17,2026-08-30,2026-08-30,settled
TXN10106,1625.63,33.3,5.99,2026-08-21,2026-08-22,settled
TXN10107,306.19,6.27,1.13,2026-07-15,2026-07-15,settled
TXN10108,1501.0,30.75,5.54,2026-07-07,2026-07-07,settled
TXN10109,3201.73,65.58,11.8,2026-07-28,2026-07-28,settled
TXN10110,735.86,15.07,2.71,2026-07-18,2026-07-19,settled
TXN10111,4706.41,96.4,17.35,2026-07-18,2026-07-19,settled
TXN10112,2991.24,61.27,11.03,2026-07-25,2026-07-25,settled
TXN10113,3036.4,62.2,11.2,2026-08-03,2026-08-04,settled
TXN10114,4411.01,90.35,16.26,2026-07-15,2026-07-15,settled
TXN10115,3517.16,72.04,12.97,2026-07-02,2026-07-03,settled
TXN10116,2216.66,45.4,8.17,2026-09-01,2026-09-01,settled
TXN10117,1666.51,34.14,6.15,2026-08-25,2026-08-26,settled
TXN10118,4413.55,90.4,16.27,2026-08-04,2026-08-04,settled
TXN10119,2109.3,43.21,7.78,2026-07-28,2026-07-28,settled
TXN10120,791.84,16.22,2.92,2026-07-29,2026-07-29,settled
TXN10121,3701.58,75.82,13.65,2026-07-14,2026-07-14,settled
TXN10122,2763.31,56.6,10.19,2026-07-03,2026-07-03,settled
TXN10123,1180.35,24.18,4.35,2026-08-22,2026-08-22,settled
TXN10124,2265.81,46.41,8.35,2026-08-14,2026-08-15,settled
TXN10125,2412.96,49.43,8.9,2026-08-28,2026-08-29,settled
TXN10126,592.69,12.14,2.19,2026-08-04,2026-08-04,settled
TXN10127,4031.0,82.57,14.86,2026-08-19,2026-08-20,settled
TXN10128,1650.13,33.8,6.08,2026-08-22,2026-08-23,settled
TXN10129,309.76,6.34,1.14,2026-07-18,2026-07-18,settled
TXN10130,4177.77,85.57,15.4,2026-07-07,2026-07-07,settled
TXN10131,4348.36,89.07,16.03,2026-08-07,2026-08-08,settled
TXN10132,3458.9,70.85,12.75,2026-08-03,2026-08-03,settled
TXN10133,886.9,18.17,3.27,2026-08-15,2026-08-16,settled
TXN10134,3843.52,78.73,14.17,2026-07-16,2026-07-17,settled
TXN10135,2622.81,53.72,9.67,2026-07-05,2026-07-06,settled
TXN10136,2334.59,47.82,8.61,2026-08-23,2026-08-23,settled
TXN10137,2684.54,54.99,9.9,2026-08-07,2026-08-07,settled
TXN10138,3066.61,62.81,11.31,2026-08-18,2026-08-18,settled
TXN10139,2285.15,46.81,8.43,2026-07-13,2026-07-13,settled
TXN10140,1410.04,28.88,5.2,2026-07-18,2026-07-18,settled
TXN10141,2466.46,50.52,9.09,2026-07-18,2026-07-18,settled
TXN10142,558.42,11.44,2.06,2026-07-20,2026-07-21,settled
TXN10143,1769.31,36.24,6.52,2026-08-28,2026-08-29,settled
TXN10144,902.18,18.48,3.33,2026-07-26,2026-07-27,settled
TXN10145,1198.01,24.54,4.42,2026-07-29,2026-07-29,settled
TXN10146,2738.34,56.09,10.1,2026-07-28,2026-07-29,settled
TXN10147,4098.81,83.96,15.11,2026-07-26,2026-07-27,settled
TXN10148,1978.02,40.52,7.29,2026-07-03,2026-07-03,settled
TXN10149,3726.61,76.33,13.74,2026-08-26,2026-08-26,settled
TXN10150,3698.68,75.76,13.64,2026-08-05,2026-08-06,settled
TXN10151,1223.65,25.06,4.51,2026-07-30,2026-07-30,settled
TXN10152,2017.74,41.33,7.44,2026-08-14,2026-08-14,settled
TXN10153,968.8,19.84,3.57,2026-07-31,2026-08-01,settled
TXN10154,2698.56,55.28,9.95,2026-08-30,2026-08-30,settled
TXN10155,2840.43,58.18,10.47,2026-07-03,2026-07-04,settled
TXN10156,2204.06,45.15,8.13,2026-08-27,2026-08-27,settled
TXN10157,430.95,8.83,1.59,2026-07-27,2026-07-27,settled
TXN10158,2326.33,47.65,8.58,2026-07-24,2026-07-24,settled
TXN10159,3719.75,76.19,13.71,2026-08-25,2026-08-25,settled
TXN10160,4108.27,84.15,15.15,2026-08-01,2026-08-02,settled
TXN10161,2088.61,42.78,7.7,2026-07-14,2026-07-15,settled
TXN10162,819.76,16.79,3.02,2026-07-08,2026-07-08,settled
TXN10163,3478.27,71.25,12.82,2026-07-08,2026-07-08,settled
TXN10164,2952.97,60.49,10.89,2026-08-22,2026-08-22,settled
TXN10165,908.96,18.62,3.35,2026-08-13,2026-08-14,settled
TXN10166,3554.16,72.8,13.1,2026-08-14,2026-08-15,settled
TXN10167,1457.89,29.86,5.37,2026-07-03,2026-07-03,settled
TXN10168,2699.45,55.29,9.95,2026-07-31,2026-08-01,settled
